id,split,name,top,flow,tool,status,runtime_s,cells,area,wns_ns,tns_ns,arrival_ns,netlist,report_dir
LSV04,public,itc99_b11,b11,yosys_p3,yosys,ok,2.53,1605,2174.018000,-1.36,-101.04,1.360000,references/points_train/LSV04__yosys_p3.tar.gz::LSV04__yosys_p3/netlist.v,references/points_train/LSV04__yosys_p3.tar.gz::LSV04__yosys_p3
LSV04,public,itc99_b11,b11,yosys_p2,yosys,ok,2.82,1759,2442.944000,-1.66,-108.12,1.660000,references/points_train/LSV04__yosys_p2.tar.gz::LSV04__yosys_p2/netlist.v,references/points_train/LSV04__yosys_p2.tar.gz::LSV04__yosys_p2
LSV05,public,sog_axi_downsizer,axi_dwidth_converter_v2_1_b_downsizer,yosys_p5,yosys,ok,0.56,91,144.970000,-0.53,-6.70,0.530000,references/points_train/LSV05__yosys_p5.tar.gz::LSV05__yosys_p5/netlist.v,references/points_train/LSV05__yosys_p5.tar.gz::LSV05__yosys_p5
LSV04,public,itc99_b11,b11,yosys_p4,yosys,ok,2.54,1620,2176.678000,-1.42,-107.31,1.420000,references/points_train/LSV04__yosys_p4.tar.gz::LSV04__yosys_p4/netlist.v,references/points_train/LSV04__yosys_p4.tar.gz::LSV04__yosys_p4
LSV06,public,sog_pfpu_f2i,pfpu_f2i,yosys_p1,yosys,ok,1.32,578,795.872000,-1.50,-48.95,1.500000,references/points_train/LSV06__yosys_p1.tar.gz::LSV06__yosys_p1/netlist.v,references/points_train/LSV06__yosys_p1.tar.gz::LSV06__yosys_p1
LSV06,public,sog_pfpu_f2i,pfpu_f2i,yosys_p2,yosys,ok,1.36,675,869.820000,-1.39,-44.46,1.390000,references/points_train/LSV06__yosys_p2.tar.gz::LSV06__yosys_p2/netlist.v,references/points_train/LSV06__yosys_p2.tar.gz::LSV06__yosys_p2
LSV06,public,sog_pfpu_f2i,pfpu_f2i,yosys_p3,yosys,ok,1.24,588,809.172000,-1.04,-34.02,1.040000,references/points_train/LSV06__yosys_p3.tar.gz::LSV06__yosys_p3/netlist.v,references/points_train/LSV06__yosys_p3.tar.gz::LSV06__yosys_p3
LSV06,public,sog_pfpu_f2i,pfpu_f2i,yosys_p4,yosys,ok,1.32,563,791.084000,-1.58,-50.78,1.580000,references/points_train/LSV06__yosys_p4.tar.gz::LSV06__yosys_p4/netlist.v,references/points_train/LSV06__yosys_p4.tar.gz::LSV06__yosys_p4
LSV06,public,sog_pfpu_f2i,pfpu_f2i,yosys_p5,yosys,ok,1.33,644,865.032000,-1.24,-36.44,1.240000,references/points_train/LSV06__yosys_p5.tar.gz::LSV06__yosys_p5/netlist.v,references/points_train/LSV06__yosys_p5.tar.gz::LSV06__yosys_p5
LSV04,public,itc99_b11,b11,yosys_p5,yosys,ok,3.19,1959,2650.158000,-1.19,-92.64,1.190000,references/points_train/LSV04__yosys_p5.tar.gz::LSV04__yosys_p5/netlist.v,references/points_train/LSV04__yosys_p5.tar.gz::LSV04__yosys_p5
LSV08,public,sog_stage_mult,stage_mult,yosys_p1,yosys,ok,1.30,1513,1964.410000,-1.02,-34.36,1.020000,references/points_train/LSV08__yosys_p1.tar.gz::LSV08__yosys_p1/netlist.v,references/points_train/LSV08__yosys_p1.tar.gz::LSV08__yosys_p1
LSV08,public,sog_stage_mult,stage_mult,yosys_p2,yosys,ok,1.52,1499,2029.580000,-0.99,-33.59,0.990000,references/points_train/LSV08__yosys_p2.tar.gz::LSV08__yosys_p2/netlist.v,references/points_train/LSV08__yosys_p2.tar.gz::LSV08__yosys_p2
LSV07,public,sog_qdiv,qdiv,yosys_p1,yosys,ok,3.38,1336,2345.056000,-1.82,-435.32,1.820000,references/points_train/LSV07__yosys_p1.tar.gz::LSV07__yosys_p1/netlist.v,references/points_train/LSV07__yosys_p1.tar.gz::LSV07__yosys_p1
LSV08,public,sog_stage_mult,stage_mult,yosys_p3,yosys,ok,1.61,1503,1946.854000,-1.12,-34.11,1.120000,references/points_train/LSV08__yosys_p3.tar.gz::LSV08__yosys_p3/netlist.v,references/points_train/LSV08__yosys_p3.tar.gz::LSV08__yosys_p3
LSV07,public,sog_qdiv,qdiv,yosys_p4,yosys,ok,3.33,1281,2290.792000,-2.11,-410.65,2.110000,references/points_train/LSV07__yosys_p4.tar.gz::LSV07__yosys_p4/netlist.v,references/points_train/LSV07__yosys_p4.tar.gz::LSV07__yosys_p4
LSV08,public,sog_stage_mult,stage_mult,yosys_p4,yosys,ok,1.36,1513,1964.410000,-1.02,-34.36,1.020000,references/points_train/LSV08__yosys_p4.tar.gz::LSV08__yosys_p4/netlist.v,references/points_train/LSV08__yosys_p4.tar.gz::LSV08__yosys_p4
LSV07,public,sog_qdiv,qdiv,yosys_p3,yosys,ok,3.45,1282,2329.894000,-2.69,-470.38,2.690000,references/points_train/LSV07__yosys_p3.tar.gz::LSV07__yosys_p3/netlist.v,references/points_train/LSV07__yosys_p3.tar.gz::LSV07__yosys_p3
LSV07,public,sog_qdiv,qdiv,yosys_p2,yosys,ok,3.66,1484,2537.906000,-1.88,-408.83,1.880000,references/points_train/LSV07__yosys_p2.tar.gz::LSV07__yosys_p2/netlist.v,references/points_train/LSV07__yosys_p2.tar.gz::LSV07__yosys_p2
LSV07,public,sog_qdiv,qdiv,yosys_p5,yosys,ok,3.69,1534,2579.136000,-2.94,-539.93,2.940000,references/points_train/LSV07__yosys_p5.tar.gz::LSV07__yosys_p5/netlist.v,references/points_train/LSV07__yosys_p5.tar.gz::LSV07__yosys_p5
LSV08,public,sog_stage_mult,stage_mult,yosys_p5,yosys,ok,1.77,1493,2026.920000,-0.91,-32.67,0.910000,references/points_train/LSV08__yosys_p5.tar.gz::LSV08__yosys_p5/netlist.v,references/points_train/LSV08__yosys_p5.tar.gz::LSV08__yosys_p5
LSV10,public,medium_vexriscv_small,VexRiscv_small,yosys_p1,yosys,ok,8.19,7923,15494.500000,-15.03,-3381.05,15.030000,references/points_train/LSV10__yosys_p1.tar.gz::LSV10__yosys_p1/netlist.v,references/points_train/LSV10__yosys_p1.tar.gz::LSV10__yosys_p1
LSV09,public,medium_sha256_wishbone,Sha256Wishbone,yosys_p1,yosys,ok,9.89,8896,13972.182000,-32.96,-18493.23,32.960000,references/points_train/LSV09__yosys_p1.tar.gz::LSV09__yosys_p1/netlist.v,references/points_train/LSV09__yosys_p1.tar.gz::LSV09__yosys_p1
LSV10,public,medium_vexriscv_small,VexRiscv_small,yosys_p3,yosys,ok,8.34,7960,15569.512000,-25.94,-3772.75,25.940000,references/points_train/LSV10__yosys_p3.tar.gz::LSV10__yosys_p3/netlist.v,references/points_train/LSV10__yosys_p3.tar.gz::LSV10__yosys_p3
LSV09,public,medium_sha256_wishbone,Sha256Wishbone,yosys_p3,yosys,ok,10.01,8431,13599.782000,-32.23,-18214.87,32.230000,references/points_train/LSV09__yosys_p3.tar.gz::LSV09__yosys_p3/netlist.v,references/points_train/LSV09__yosys_p3.tar.gz::LSV09__yosys_p3
LSV09,public,medium_sha256_wishbone,Sha256Wishbone,yosys_p4,yosys,ok,10.41,8816,13841.044000,-23.28,-11662.75,23.280000,references/points_train/LSV09__yosys_p4.tar.gz::LSV09__yosys_p4/netlist.v,references/points_train/LSV09__yosys_p4.tar.gz::LSV09__yosys_p4
LSV09,public,medium_sha256_wishbone,Sha256Wishbone,yosys_p2,yosys,ok,11.36,9285,14729.218000,-9.28,-6517.05,9.280000,references/points_train/LSV09__yosys_p2.tar.gz::LSV09__yosys_p2/netlist.v,references/points_train/LSV09__yosys_p2.tar.gz::LSV09__yosys_p2
LSV10,public,medium_vexriscv_small,VexRiscv_small,yosys_p2,yosys,ok,9.95,10242,19001.444000,-125.88,-26262.20,125.880000,references/points_train/LSV10__yosys_p2.tar.gz::LSV10__yosys_p2/netlist.v,references/points_train/LSV10__yosys_p2.tar.gz::LSV10__yosys_p2
LSV09,public,medium_sha256_wishbone,Sha256Wishbone,yosys_p5,yosys,ok,13.14,9581,15128.218000,-27.50,-16343.03,27.500000,references/points_train/LSV09__yosys_p5.tar.gz::LSV09__yosys_p5/netlist.v,references/points_train/LSV09__yosys_p5.tar.gz::LSV09__yosys_p5
LSV10,public,medium_vexriscv_small,VexRiscv_small,yosys_p4,yosys,ok,8.76,7902,15445.556000,-27.34,-3912.24,27.340000,references/points_train/LSV10__yosys_p4.tar.gz::LSV10__yosys_p4/netlist.v,references/points_train/LSV10__yosys_p4.tar.gz::LSV10__yosys_p4
LSV10,public,medium_vexriscv_small,VexRiscv_small,yosys_p5,yosys,ok,10.30,9514,19449.122000,-28.28,-7928.75,28.280000,references/points_train/LSV10__yosys_p5.tar.gz::LSV10__yosys_p5/netlist.v,references/points_train/LSV10__yosys_p5.tar.gz::LSV10__yosys_p5
